Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2018-06-26;22:22:07;34.58;45.66;8; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-06-26 22:42;683147;
2018-06-26;22:13:05;34.23;45.59;10;f;mb;4.3;IRAN-IRAQ BORDER REGION;2018-06-27 06:26;683131;
2018-06-26;17:57:04;34.57;46.22;10; ;mb;4.7;WESTERN IRAN;2018-06-27 06:11;682978;
2018-06-23;21:37:48;34.07;45.87;10;f;mb;4.4;IRAN-IRAQ BORDER REGION;2018-06-24 15:58;681271;
2018-06-20;18:47:27;33.69;45.63;10;f;ML;3.9;IRAN-IRAQ BORDER REGION;2018-06-21 06:46;679378;
2018-06-13;18:41:45;33.15;48.99;10;f;mb;4.0;WESTERN IRAN;2018-06-14 14:54;675806;
2018-06-11;23:43:46;32.79;48.45;10; ;ML;3.7;WESTERN IRAN;2018-06-11 23:54;674966;
2018-06-10;06:41:33;35.76;49.04;6; ;ML;3.9;WESTERN IRAN;2018-06-10 06:57;674228;
2018-06-08;23:42:16;35.59;45.51;10;f;ML;3.7;IRAN-IRAQ BORDER REGION;2018-06-12 04:39;674449;
2018-06-07;17:46:00;34.59;49.65;9; ;ML;3.5;WESTERN IRAN;2018-06-07 17:53;673113;
2018-06-06;00:07:07;34.47;46.08;10; ;mb;4.0;WESTERN IRAN;2018-06-06 06:51;672525;
2018-06-01;07:20:06;32.51;49.22;12; ;ML;3.8;WESTERN IRAN;2018-06-01 07:32;671035;
2018-05-22;00:31:52;34.68;45.83;10;f;mb;4.5;IRAN-IRAQ BORDER REGION;2018-05-22 06:27;667975;
2018-05-17;00:03:45;32.52;48.09;10; ;ML;3.7;WESTERN IRAN;2018-05-17 01:51;666893;
2018-05-09;10:37:13;34.84;45.71;10; ;ML;3.8;IRAN-IRAQ BORDER REGION;2018-05-09 10:48;664944;
2018-05-07;16:04:13;34.82;46.15;10;f;ML;3.7;WESTERN IRAN;2018-05-08 10:09;664558;
2018-05-07;14:18:27;33.66;48.69;10;f;ML;3.9;WESTERN IRAN;2018-05-08 10:10;664531;
2018-05-05;12:43:48;33.08;46.13;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-05-05 12:54;663916;
2018-05-05;10:49:51;34.55;45.78;9; ;ML;3.8;IRAN-IRAQ BORDER REGION;2018-05-05 11:00;663878;
2018-04-30;22:25:41;34.88;45.83;8; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-04-30 23:03;662533;
2018-04-30;22:13:36;34.89;45.82;8; ;ML;4.0;IRAN-IRAQ BORDER REGION;2018-04-30 22:28;662527;
2018-04-28;09:50:40;32.98;45.97;8; ;ML;3.6;IRAQ;2018-04-28 10:01;662125;
2018-04-28;01:13:20;32.93;46.04;10; ;ML;4.1;IRAN-IRAQ BORDER REGION;2018-04-28 07:46;662054;
2018-04-23;16:09:11;35.94;53.35;10;f;ML;4.2;NORTHERN IRAN;2018-04-24 06:41;661144;
2018-04-22;18:48:02;33.80;45.62;10; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-04-22 19:00;660965;
2018-04-21;14:18:12;33.66;45.62;9; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-04-21 14:32;660814;
2018-04-16;04:30:35;35.84;44.73;10;f;mb;4.5;IRAQ;2018-04-16 06:43;659851;
2018-04-15;09:49:24;35.57;50.19;8; ;ML;3.5;NORTHERN IRAN;2018-04-15 10:01;659733;
2018-04-07;08:48:58;34.47;45.97;2; ;ML;3.9;IRAN-IRAQ BORDER REGION;2018-04-07 19:36;658259;
2018-04-04;21:47:00;34.41;45.82;12; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-04-04 21:53;657913;
2018-04-02;03:03:24;34.30;45.91;10; ;mb;4.2;IRAN-IRAQ BORDER REGION;2018-04-02 09:34;657394;
2018-04-01;18:26:21;35.57;52.41;10;f;mb;4.1;NORTHERN IRAN;2018-04-02 09:39;657340;
2018-04-01;16:01:24;34.43;45.82;8; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-04-01 16:13;657323;
2018-04-01;08:35:25;34.27;45.80;10;f;mb;5.3;IRAN-IRAQ BORDER REGION;2018-04-03 07:10;657268;
2018-03-28;01:55:31;34.48;45.41;10; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-03-28 02:04;656588;
2018-03-28;01:19:25;34.54;45.68;10; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-03-28 06:52;656585;
2018-03-28;00:27:04;34.32;45.43;10;f;mb;4.4;IRAN-IRAQ BORDER REGION;2018-03-28 06:51;656575;
2018-03-21;03:13:32;34.40;45.75;8; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-03-21 03:27;655373;
2018-03-20;02:40:22;35.94;53.39;8;f;ML;4.4;NORTHERN IRAN;2018-03-20 07:46;655016;
2018-03-20;02:27:31;34.22;45.85;10;f;ML;3.9;IRAN-IRAQ BORDER REGION;2018-03-20 07:46;655014;
2018-03-19;10:39:04;34.65;45.48;10; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-03-19 10:45;654933;
2018-03-07;19:01:07;34.15;46.77;10; ;mb;4.2;WESTERN IRAN;2018-03-08 08:00;653085;
2018-03-03;13:38:47;34.38;45.67;8; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-03-03 13:53;652142;
2018-03-01;06:15:40;34.61;46.42;5; ;ML;3.9;WESTERN IRAN;2018-03-01 07:56;651678;
2018-02-24;16:26:34;33.84;45.05;10; ;mb;4.0;IRAN-IRAQ BORDER REGION;2018-02-24 21:02;650688;
2018-02-19;21:31:39;36.09;45.04;10;f;mb;4.3;IRAN-IRAQ BORDER REGION;2018-02-20 07:36;649591;
2018-02-19;19:20:48;36.19;45.16;10; ;ML;4.6;IRAN-IRAQ BORDER REGION;2018-02-20 07:35;649576;
2018-02-19;16:27:10;32.93;48.85;6; ;ML;3.5;WESTERN IRAN;2018-02-19 16:37;649543;
2018-02-19;11:02:00;34.20;45.37;10;f;mb;4.6;IRAN-IRAQ BORDER REGION;2018-02-20 15:54;649498;
2018-02-19;04:34:32;32.86;47.53;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-02-19 05:03;649412;
2018-02-16;18:21:58;33.62;45.62;10; ;ML;4.1;IRAN-IRAQ BORDER REGION;2018-02-16 18:31;648790;
2018-02-16;05:56:41;34.58;46.26;8; ;ML;3.5;WESTERN IRAN;2018-02-16 06:07;648641;
2018-02-10;17:41:22;33.71;45.66;8; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-02-10 17:51;647377;
2018-02-08;12:49:54;34.59;46.80;10;f;ML;3.5;WESTERN IRAN;2018-02-12 08:26;646841;
2018-02-06;12:28:25;33.62;45.80;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-02-06 12:38;646254;
2018-02-02;09:42:57;34.79;45.71;8; ;ML;4.0;IRAN-IRAQ BORDER REGION;2018-02-02 09:55;645148;
2018-02-01;20:14:49;34.62;45.47;10;f;ML;3.9;IRAN-IRAQ BORDER REGION;2018-02-02 07:41;645026;
2018-02-01;11:07:32;34.73;45.74;8; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-02-01 11:17;644948;
2018-02-01;03:29:36;33.70;45.71;9; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-02-01 03:39;644904;
2018-01-31;21:29:09;33.64;45.73;10; ;mb;4.1;IRAN-IRAQ BORDER REGION;2018-02-01 07:46;644858;
2018-01-31;18:12:21;33.66;45.58;8; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-31 18:33;644835;
2018-01-31;17:53:24;33.70;45.71;8; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-01-31 18:06;644829;
2018-01-31;14:56:21;33.71;45.64;12; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-31 15:11;644799;
2018-01-28;04:07:07;33.77;45.68;10; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-01-28 04:17;644026;
2018-01-27;12:39:58;35.90;53.05;8;f;mb;4.1;NORTHERN IRAN;2018-01-28 08:34;643889;
2018-01-26;21:12:58;33.61;45.76;10;f;mb;4.0;IRAN-IRAQ BORDER REGION;2018-02-09 00:12;643758;
2018-01-26;20:17:35;33.56;45.68;10;f;mb;4.6;IRAN-IRAQ BORDER REGION;2018-01-28 08:12;643745;
2018-01-25;03:19:15;34.50;46.28;10;f;ML;4.0;WESTERN IRAN;2018-01-25 07:53;643408;
2018-01-23;03:45:15;33.55;46.98;10;f;mb;4.7;IRAN-IRAQ BORDER REGION;2018-01-23 07:44;642888;
2018-01-23;02:03:24;33.62;45.63;8; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-23 02:13;642875;
2018-01-22;21:46:12;34.52;45.85;8; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-01-22 21:56;642846;
2018-01-22;05:51:52;33.74;45.62;7; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-01-22 06:01;642695;
2018-01-21;13:21:30;33.44;45.65;10;f;mb;4.3;IRAN-IRAQ BORDER REGION;2018-02-01 21:07;645031;
2018-01-21;09:07:31;35.86;45.79;2; ;ML;4.2;IRAN-IRAQ BORDER REGION;2018-01-21 17:13;642533;
2018-01-21;05:45:39;34.57;45.59;10; ;mb;4.2;IRAN-IRAQ BORDER REGION;2018-01-21 17:19;642513;
2018-01-20;02:05:49;33.66;45.59;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-20 02:40;642293;
2018-01-19;23:16:08;33.57;45.61;11; ;ML;3.8;IRAN-IRAQ BORDER REGION;2018-01-19 23:23;642268;
2018-01-19;22:17:55;33.54;45.69;10;f;mb;5.0;IRAN-IRAQ BORDER REGION;2018-01-20 16:14;642254;
2018-01-18;16:48:42;34.57;45.69;8; ;ML;4.0;IRAN-IRAQ BORDER REGION;2018-01-18 16:59;641979;
2018-01-18;13:38:14;33.48;47.13;10; ;ML;3.9;WESTERN IRAN;2018-01-18 13:48;641951;
2018-01-18;02:54:48;33.71;45.74;7; ;ML;3.8;IRAN-IRAQ BORDER REGION;2018-01-18 03:03;641865;
2018-01-16;19:56:25;33.78;45.68;8; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-01-16 20:02;641632;
2018-01-16;15:29:58;33.46;45.67;10;f;mb;4.2;IRAN-IRAQ BORDER REGION;2018-01-30 20:42;641577;
2018-01-16;04:25:34;33.94;45.68;10; ;ML;3.9;IRAN-IRAQ BORDER REGION;2018-01-16 08:01;641495;
2018-01-15;15:04:59;33.58;45.67;10;f;mb;4.1;IRAN-IRAQ BORDER REGION;2018-01-29 20:35;641400;
2018-01-14;19:45:45;34.26;45.79;2; ;ML;4.1;IRAN-IRAQ BORDER REGION;2018-01-14 22:12;641264;
2018-01-14;17:17:05;33.68;45.72;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-14 17:23;641247;
2018-01-13;09:31:53;33.70;45.64;12; ;ML;4.0;IRAN-IRAQ BORDER REGION;2018-01-13 09:53;641035;
2018-01-13;09:24:19;33.79;45.63;10; ;ML;4.3;IRAN-IRAQ BORDER REGION;2018-01-13 14:09;641029;
2018-01-13;06:30:30;33.70;45.63;10; ;mb;4.3;IRAN-IRAQ BORDER REGION;2018-01-13 14:01;641003;
2018-01-13;00:33:29;33.73;45.84;2; ;ML;4.3;IRAN-IRAQ BORDER REGION;2018-01-13 14:16;640969;
2018-01-12;19:14:18;33.80;45.71;10; ;ML;3.9;IRAN-IRAQ BORDER REGION;2018-01-12 20:41;640955;
2018-01-12;11:43:48;33.71;45.68;10; ;ML;3.9;IRAN-IRAQ BORDER REGION;2018-01-13 08:53;641026;
2018-01-12;07:49:27;33.74;45.75;8; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-12 08:03;640829;
2018-01-11;23:44:00;33.81;45.71;10; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-01-12 01:03;640781;
2018-01-11;21:50:44;33.58;45.75;10;f;mb;4.6;IRAN-IRAQ BORDER REGION;2018-01-12 07:47;640752;
2018-01-11;20:19:41;33.72;45.74;10; ;ML;4.0;IRAN-IRAQ BORDER REGION;2018-01-11 21:36;640731;
2018-01-11;14:47:18;33.76;45.70;12; ;ML;4.1;IRAN-IRAQ BORDER REGION;2018-01-13 08:51;641020;
2018-01-11;14:37:19;33.68;45.70;10; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-01-13 08:50;641018;
2018-01-11;13:30:47;33.69;45.72;10;f;ML;4.1;IRAN-IRAQ BORDER REGION;2018-01-13 14:19;640649;
2018-01-11;13:16:40;33.72;45.57;10; ;mb;4.5;IRAN-IRAQ BORDER REGION;2018-01-11 14:59;640648;
2018-01-11;12:18:37;33.75;45.64;8; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-13 08:50;641017;
2018-01-11;10:41:28;33.74;45.73;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-13 08:51;641022;
2018-01-11;10:27:57;33.74;45.72;10; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-13 08:50;641013;
2018-01-11;10:14:10;33.69;45.72;10; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-01-13 08:53;641025;
2018-01-11;10:13:06;33.71;45.72;12; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-01-13 08:52;641024;
2018-01-11;10:05:12;33.81;45.69;9; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-01-13 08:54;641027;
2018-01-11;10:03:41;33.73;45.75;10; ;ML;3.6;IRAN-IRAQ BORDER REGION;2018-01-13 08:51;641021;
2018-01-11;09:32:26;33.82;45.66;10;f;mb;4.4;IRAN-IRAQ BORDER REGION;2018-01-15 07:49;640605;
2018-01-11;09:23:56;33.75;45.72;8; ;ML;4.2;IRAN-IRAQ BORDER REGION;2018-01-13 08:51;640602;
2018-01-11;09:06:49;33.74;45.72;12; ;ML;3.9;IRAN-IRAQ BORDER REGION;2018-01-13 08:50;641019;
2018-01-11;08:53:35;33.77;45.72;10; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-01-13 08:50;641012;
2018-01-11;08:29:03;33.82;45.70;11; ;ML;3.9;IRAN-IRAQ BORDER REGION;2018-01-13 08:50;641016;
2018-01-11;08:25:35;33.72;45.60;8; ;ML;3.5;IRAN-IRAQ BORDER REGION;2018-01-13 08:50;641015;
2018-01-11;08:17:56;33.70;45.68;8; ;ML;4.1;IRAN-IRAQ BORDER REGION;2018-01-13 08:51;641023;
2018-01-11;08:05:57;33.77;45.71;10; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-01-11 08:46;640588;
2018-01-11;08:00:39;33.69;45.80;10;f;mb;5.4;IRAN-IRAQ BORDER REGION;2018-01-11 09:25;640576;
2018-01-11;07:54:59;33.66;45.75;10;f;mb;5.0;IRAN-IRAQ BORDER REGION;2018-01-11 09:23;640569;
2018-01-11;07:52:46;33.63;45.63;10;f;mb;4.3;IRAN-IRAQ BORDER REGION;2018-01-11 12:30;640587;
2018-01-11;07:37:07;33.65;45.64;10;f;mb;4.3;IRAN-IRAQ BORDER REGION;2018-01-11 12:30;640583;
2018-01-11;07:21:43;33.28;46.47;10;f;mb;5.4;IRAN-IRAQ BORDER REGION;2018-01-11 09:22;640561;
2018-01-11;07:14:15;33.78;45.76;10;f;Mw;5.2;IRAN-IRAQ BORDER REGION;2018-01-11 09:19;640557;
2018-01-11;07:00:52;33.81;45.80;10;f;mb;5.3;IRAN-IRAQ BORDER REGION;2018-01-11 07:52;640567;
2018-01-11;06:59:30;33.72;45.74;10;f;Mw;5.5;IRAN-IRAQ BORDER REGION;2018-01-11 09:21;640553;
2018-01-10;15:56:29;34.54;46.87;10;f;ML;4.7;WESTERN IRAN;2018-01-10 16:56;640434;
2018-01-07;02:01:48;34.69;45.98;10; ;mb;4.2;IRAN-IRAQ BORDER REGION;2018-01-07 11:35;639789;
2018-01-06;15:22:09;34.37;46.07;10;f;Mw;5.1;WESTERN IRAN;2018-01-07 11:48;639705;
2018-01-05;06:32:56;34.38;45.61;10; ;ML;4.1;IRAN-IRAQ BORDER REGION;2018-01-05 08:58;639500;
2018-01-01;19:54:34;34.63;45.88;2; ;ML;3.7;IRAN-IRAQ BORDER REGION;2018-01-02 04:49;638839;
